neighborhood, area
 Centro, 5.368
 Capoeiras, 2.816
 Trindade, 3.320
 Agronômica, 1.964
 Saco dos Limões, 3.106
 Coqueiros, 1.751
 Monte Cristo, 0.588
 Jardim Atlântico, 1.786
 Itacorubi, 12.756
 Costeira do Pirajubaé, 6.372
 Capivari, 5.980
 Tapera da Base, 3.553
 Estreito, 1.388
 Monte Verde, 5.054
 Balneário, 0.702
 São João do Rio Vermelho, 31.360
 Canto, 0.680
 Abraão, 0.833
 Santa Mônica, 0.590
 Lagoa, 53.833
 Saco Grande, 11.016
 Córrego Grande, 6.603
 Canasvieiras, 29.125
 Pantanal, 2.312
 Coloninha, 0.596
 Barra da Lagoa, 5.450
 Carianos, 1.196
 José Mendes, 0.554
 Ingleses Centro, 2.649
 João Paulo, 2.804
 Campeche Leste, 2.348
 Campeche Sul, 2.278
 Rio Tavares Central, 2.211
 Santinho, 3.410
 Ponta das Canas, 3.414
 Vargem do Bom Jesus, 4.908
 Armação, 2.224
 Cachoeira do Bom Jesus Leste, 2.584
 Pântano do Sul, 7.811
 Itaguaçu, 0.460
 Jurere Leste, 3.743
 Campeche Norte, 1.791
 Vargem Grande, 10.336
 Campeche Central, 1.990
 Ressacada, 1.664
 Morro das Pedras, 1.533
 Alto Ribeirão Leste, 2.293
 Alto Ribeirão, 5.396
 Ribeirão da Ilha[1], 4.511
 Santo Antônio, 21.527
 Sambaqui, 1.266
 Ingleses Sul, 1.963
 Bom Abrigo, 0.179
 Jurere Oeste, 4.220
 Porto da Lagoa, 2.373
 Cachoeira do Bom Jesus, 30.226
 Rio Tavares do Norte, 1.765
 Pedregal, 1.589
 Ratones, 11.684
 Canto da Lagoa, 3.709
 Retiro, 1.240
 Cacupé, 1.789
 Lagoa Pequena, 1.868
 Barra do Sambaqui, 2.867
 Caiacanga, 2.296
 Lagoinha do Norte, 1.271
 Base Aérea, 6.214
 Pedrita, 2.973
 Açores, 5.918
 Costeira do Ribeirão, 3.470
 Moenda, 1.631
 Tapera, 3.553
 Daniela, 1.390
 Vargem Pequena, 5.856
 Canto dos Araçás, 2.369
 Recanto dos Açores, 2.211
 Canto do Lamim, 1.347
 Vargem de Fora, 3.363
 Dunas da Lagoa, 5.763
 Autódromo, 1.721
 Forte, 0.547
 Ingleses Norte, 2.382
 Caieira, 2.662
 Praia Brava, 2.584
 Praia Mole, 1.140
