,Posição,Bairro,População,Latitude,Longitude
0,1,Centro,44.074,-27.5972029,-48.5494815
1,2,Capoeiras,19.323,-27.597332899999998,-48.590008399999995
2,3,Trindade,15.030999999999999,-27.5893834,-48.522400399999995
3,4,Agronômica,14.591,-27.5781447,-48.535716799999996
4,5,Saco dos Limões,13.770999999999999,-27.608267699999995,-48.5343435
5,6,Coqueiros,13.592,-27.6112016,-48.5808439
6,7,Monte Cristo,12.634,-27.590582899999998,-48.6016347
7,8,Jardim Atlântico,12.047,-27.5754924,-48.596799299999994
8,9,Itacorubi,10.307,-27.581510499999997,-48.5041925
9,10,Costeira do Pirajubaé,9.301,-27.634175199999998,-48.5227973
10,11,Capivari,8.686,-27.4527368,-48.40678629999999
11,12,Tapera da Base,7.081,-27.59667,-48.549170000000004
12,13,Estreito,7.007000000000001,-27.590914299999998,-48.5777018
13,14,Monte Verde,6.1979999999999995,-27.5595039,-48.4961059
14,15,Balneário,6.11,-27.5795963,-48.581137899999995
15,16,São João do Rio Vermelho,5.571000000000001,-27.483806400000002,-48.4096375
16,17,Canto,5.56,-27.5867969,-48.5862206
17,18,Abraão,5.21,-27.6063282,-48.593523700000006
18,19,Santa Mônica,5.081,-27.5899277,-48.5097027
19,20,Lagoa,5.081,-7.638532700000001,-72.6676939
20,21,Saco Grande,5.002,-27.542800500000002,-48.5005262
21,22,Córrego Grande,4.833,-27.5990157,-48.5014203
22,23,Canasvieiras,4.822,-27.4295668,-48.4602439
23,24,Pantanal,4.703,-27.6085776,-48.5211424
24,25,Coloninha,4.4319999999999995,-27.589098100000005,-48.5935081
25,26,Barra da Lagoa,3.812,-27.574778000000002,-48.4258352
26,27,Carianos,3.656,-27.664033899999996,-48.5386679
27,28,José Mendes,3.514,-27.6122607,-48.5462739
28,29,Ingleses Centro,3.142,-27.4335291,-48.4044521
29,30,João Paulo,3.057,-27.560006899999998,-48.511119
30,31,Campeche Leste,2.9739999999999998,-27.6824506,-48.4905604
31,32,Campeche Sul,2.802,-27.6824506,-48.4905604
32,33,Rio Tavares Central,2.613,-27.6532143,-48.4870434
33,34,Santinho,2.521,-27.4537409,-48.3791116
34,35,Ponta das Canas,2.4730000000000003,-27.3964294,-48.4274285
35,36,Vargem do Bom Jesus,2.286,-27.446958600000002,-48.4290406
36,37,Armação,2.247,-27.749039,-48.5076867
37,38,Cachoeira do Bom Jesus Leste,2.241,-27.426530699999997,-48.4236749
38,39,Pântano do Sul,2.234,-27.779879700000002,-48.5072329
39,40,Itaguaçu,2.229,-27.6146564,-48.59154960000001
40,41,Jurere Leste,2.031,-27.4415642,-48.491754
41,42,Campeche Norte,2.009,-27.59667,-48.549170000000004
42,43,Vargem Grande,1.875,-27.462082000000002,-48.4485196
43,44,Campeche Central,1.815,-27.6824506,-48.4905604
44,45,Ressacada,1.69,-27.666374600000005,-48.5325721
45,46,Morro das Pedras,1.527,-27.714329499999998,-48.5065495
46,47,Alto Ribeirão Leste,1.493,-27.703925899999994,-48.5338949
47,48,Alto Ribeirão,1.4869999999999999,-27.703925899999994,-48.5338949
48,49,Ribeirão da Ilha[1],1.376,-27.59667,-48.549170000000004
49,50,Santo Antônio,1.3519999999999999,-27.975928999999997,-48.941973
50,51,Sambaqui,1.345,-27.4924025,-48.5268313
51,52,Ingleses Sul,1.3230000000000002,-27.4405232,-48.3647107
52,53,Bom Abrigo,1.262,-27.6118044,-48.5949399
53,54,Jurere Oeste,1.2209999999999999,-27.4415642,-48.491754
54,55,Porto da Lagoa,1.2,-27.630841600000004,-48.472881
55,56,Cachoeira do Bom Jesus,1.199,-27.426530699999997,-48.4236749
56,57,Rio Tavares do Norte,1.082,-27.59667,-48.549170000000004
57,58,Pedregal,1.034,-27.5725284,-48.6432245
58,59,Ratones,1.023,-27.504516100000004,-48.4903989
59,60,Canto da Lagoa,980.0,-27.612850399999996,-48.485435100000004
60,61,Retiro,943.0,-27.5973002,-48.5496098
61,62,Cacupé,863.0,-27.537201399999997,-48.5245568
62,63,Lagoa Pequena,857.0,-27.528552,-48.453059
63,64,Barra do Sambaqui,781.0,-27.484567,-48.5197031
64,65,Caiacanga,769.0,-27.7634534,-48.577537299999996
65,66,Lagoinha do Norte,651.0,-27.390292300000002,-48.4256691
66,67,Base Aérea,605.0,-27.672127500000002,-48.5609768
67,68,Pedrita,589.0,-27.6472484,-48.4827319
68,69,Açores,552.0,-27.7831494,-48.52515220000001
69,70,Costeira do Ribeirão,540.0,-27.7414288,-48.5574031
70,71,Moenda,533.0,-27.59667,-48.549170000000004
71,72,Tapera,430.0,-27.6868132,-48.5640627
72,73,Daniela,426.0,-27.4489537,-48.5312504
73,74,Vargem Pequena,418.0,-27.474479499999998,-48.4616756
74,75,Canto dos Araçás,408.0,-27.594074499999998,-48.4609399
75,76,Recanto dos Açores,382.0,-27.518414899999996,-48.5154533
76,77,Canto do Lamim,348.0,-27.59667,-48.549170000000004
77,78,Vargem de Fora,345.0,-27.59667,-48.549170000000004
78,79,Dunas da Lagoa,331.0,-27.6214738,-48.4498522
79,80,Autódromo,299.0,-27.59667,-48.549170000000004
80,81,Forte,266.0,-27.421110700000003,-48.4328476
81,82,Ingleses Norte,203.0,-27.4187793,-48.408050700000004
82,83,Caieira,170.0,-27.5966909,-48.535274900000005
83,84,Praia Brava,130.0,-27.3976128,-48.415825399999996
84,85,Praia Mole,108.0,-27.603016999999998,-48.433248299999995
