position, neighborhood, population, latitude, longitude
1, Centro, 44.074, -27.5972029, -48.5494815
2, Capoeiras, 19.323, -27.5973329, -48.5900084
3, Trindade, 15.031, -27.5893834, -48.5224004
4, Agronômica, 14.591, -27.5781447, -48.5357168
5, Saco dos Limões, 13.771, -27.6082677, -48.5343435
6, Coqueiros, 13.592, -27.6112016, -48.5808439
7, Monte Cristo, 12.634, -27.5905829, -48.6016347
8, Jardim Atlântico, 12.047, -27.5754924, -48.5967993
9, Itacorubi, 10.307, -27.5815105, -48.5041925
10, Costeira do Pirajubaé, 9.301, -27.6341752, -48.5227973
11, Capivari, 8.686, -27.4527368, -48.4067863
12, Tapera da Base, 7.081, -27.59667, -48.54917
13, Estreito, 7.007, -27.5909143, -48.5777018
14, Monte Verde, 6.198, -27.5595039, -48.4961059
15, Balneário, 6.110, -27.5795963, -48.5811379
16, São João do Rio Vermelho, 5.571, -27.4838064, -48.4096375
17, Canto, 5.560, -27.5867969, -48.5862206
18, Abraão, 5.210, -27.6063282, -48.5935237
19, Santa Mônica, 5.081, -27.5899277, -48.5097027
20, Lagoa, 5.081, -7.6385327, -72.6676939
21, Saco Grande, 5.002, -27.5428005, -48.5005262
22, Córrego Grande, 4.833, -27.5990157, -48.5014203
23, Canasvieiras, 4.822, -27.4295668, -48.4602439
24, Pantanal, 4.703, -27.6085776, -48.5211424
25, Coloninha, 4.432, -27.5890981, -48.5935081
26, Barra da Lagoa, 3.812, -27.574778, -48.4258352
27, Carianos, 3.656, -27.6640339, -48.5386679
28, José Mendes, 3.514, -27.6122607, -48.5462739
29, Ingleses Centro, 3.142, -27.4335291, -48.4044521
30, João Paulo, 3.057, -27.5600069, -48.511119
31, Campeche Leste, 2.974, -27.6824506, -48.4905604
32, Campeche Sul, 2.802, -27.6824506, -48.4905604
33, Rio Tavares Central, 2.613, -27.6532143, -48.4870434
34, Santinho, 2.521, -27.4537409, -48.3791116
35, Ponta das Canas, 2.473, -27.3964294, -48.4274285
36, Vargem do Bom Jesus, 2.286, -27.4469586, -48.4290406
37, Armação, 2.247, -27.749039, -48.5076867
38, Cachoeira do Bom Jesus Leste, 2.241, -27.4265307, -48.4236749
39, Pântano do Sul, 2.234, -27.7798797, -48.5072329
40, Itaguaçu, 2.229, -27.6146564, -48.5915496
41, Jurere Leste, 2.031, -27.4415642, -48.491754
42, Campeche Norte, 2.009, -27.59667, -48.54917
43, Vargem Grande, 1.875, -27.462082, -48.4485196
44, Campeche Central, 1.815, -27.6824506, -48.4905604
45, Ressacada, 1.690, -27.6663746, -48.5325721
46, Morro das Pedras, 1.527, -27.7143295, -48.5065495
47, Alto Ribeirão Leste, 1.493, -27.7039259, -48.5338949
48, Alto Ribeirão, 1.487, -27.7039259, -48.5338949
49, Ribeirão da Ilha[1], 1.376, -27.59667, -48.54917
50, Santo Antônio, 1.352, -27.975929, -48.941973
51, Sambaqui, 1.345, -27.4924025, -48.5268313
52, Ingleses Sul, 1.323, -27.4405232, -48.3647107
53, Bom Abrigo, 1.262, -27.6118044, -48.5949399
54, Jurere Oeste, 1.221, -27.4415642, -48.491754
55, Porto da Lagoa, 1.200, -27.6308416, -48.472881
56, Cachoeira do Bom Jesus, 1.199, -27.4265307, -48.4236749
57, Rio Tavares do Norte, 1.082, -27.59667, -48.54917
58, Pedregal, 1.034, -27.5725284, -48.6432245
59, Ratones, 1.023, -27.5045161, -48.4903989
60, Canto da Lagoa, 980, -27.6128504, -48.4854351
61, Retiro, 943, -27.5973002, -48.5496098
62, Cacupé, 863, -27.5372014, -48.5245568
63, Lagoa Pequena, 857, -27.528552, -48.453059
64, Barra do Sambaqui, 781, -27.484567, -48.5197031
65, Caiacanga, 769, -27.7634534, -48.5775373
66, Lagoinha do Norte, 651, -27.3902923, -48.4256691
67, Base Aérea, 605, -27.6721275, -48.5609768
68, Pedrita, 589, -27.6472484, -48.4827319
69, Açores, 552, -27.7831494, -48.5251522
70, Costeira do Ribeirão, 540, -27.7414288, -48.5574031
71, Moenda, 533, -27.59667, -48.54917
72, Tapera, 430, -27.6868132, -48.5640627
73, Daniela, 426, -27.4489537, -48.5312504
74, Vargem Pequena, 418, -27.4744795, -48.4616756
75, Canto dos Araçás, 408, -27.5940745, -48.4609399
76, Recanto dos Açores, 382, -27.5184149, -48.5154533
77, Canto do Lamim, 348, -27.59667, -48.54917
78, Vargem de Fora, 345, -27.59667, -48.54917
79, Dunas da Lagoa, 331, -27.6214738, -48.4498522
80, Autódromo, 299, -27.59667, -48.54917
81, Forte, 266, -27.4211107, -48.4328476
82, Ingleses Norte, 203, -27.4187793, -48.4080507
83, Caieira, 170, -27.5966909, -48.5352749
84, Praia Brava, 130, -27.3976128, -48.4158254
85, Praia Mole, 108, -27.603017, -48.4332483
